Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-06-25,75835.03125,76113.83651194852,75463.29090073529,75742.09616268383,13481405
2021-06-28,76113.8359375,76206.77102411477,75835.03067765567,75927.96576427044,11578529
2021-06-29,75610.6875,76637.49930555555,75423.99444444444,76450.80625,15744317
2021-06-30,75330.6640625,75984.08989699504,75330.6640625,75704.05025364003,13288643
2021-07-01,74770.5703125,75237.30296114233,74677.22378277154,75143.95643141386,13382882
2021-07-02,74677.21875,75050.60484375,74583.8722265625,74677.21875,8753097
2021-07-05,75050.6171875,75424.00334266169,74677.23103233831,74770.57757112873,8330969
2021-07-06,75797.390625,75797.390625,75143.96484375,75237.31138392857,12131651
2021-07-07,75424.0,75890.73267326732,74957.26732673268,75797.38613861386,15992202
2021-07-08,74583.8828125,75797.38778942428,74583.8828125,75704.04125273779,16660998
2021-07-09,74117.1484375,74490.53457572417,73743.76229927581,74303.84150661208,22720577
2021-07-12,74397.1875,74677.22710163111,74210.49443224592,74583.88056775408,9768108
2021-07-13,74490.546875,74863.93307487469,74490.546875,74677.23997493734,9863450
2021-07-14,74210.484375,74303.83089622641,73837.09829009433,74117.13785377359,11575636
2021-07-15,75237.3125,75237.3125,74210.50054280397,74490.54016749379,13766279
2021-07-16,74490.546875,74770.58652490602,74210.50722509398,74770.58652490602,10859399
2021-07-19,73743.765625,73930.45870253164,73557.07254746836,73837.11216376582,13155414
2021-07-20,73743.765625,73743.765625,73183.68639240506,73277.03293117089,12456646
2021-07-21,73277.0234375,73837.10259753185,73277.0234375,73743.75607085986,12355296
2021-07-22,74397.1875,74490.53403387703,73650.4152289837,73743.76176286073,12618790
2021-07-23,74023.796875,74583.87604429382,73930.45034678436,74397.18298786254,9098910
2021-07-26,73557.0703125,74210.49606400698,73557.0703125,74117.14952807741,10040975
2021-07-27,73277.0234375,74117.14217754776,73277.0234375,73930.44912420382,11427693
2021-07-28,73930.46875,73930.46875,72903.65668402778,73090.34978693181,12743417
2021-07-29,73743.765625,74117.15178006329,73557.07254746836,73557.07254746836,14360453
2021-07-30,73277.0234375,73650.40954418789,73277.0234375,73650.40954418789,13823411
2021-08-02,74023.796875,74210.48993143128,73463.71770570618,73930.45034678436,11739124
2021-08-03,75984.0859375,75984.0859375,74023.808536164,74117.15507908477,24339360
2021-08-04,77384.2734375,77570.96649766286,76357.46160660435,76730.84772693003,25642368
2021-08-05,76637.5078125,77757.66627017356,76544.16127436054,77757.66627017356,18485469
2021-08-06,76077.4296875,77010.89508243866,75890.73660851228,76450.81584547546,13342623
2021-08-09,76077.4296875,76824.20200345092,75517.35045053682,76077.4296875,15522581
2021-08-10,74863.921875,76917.54566708229,74770.57533899625,76824.19913107855,20362639
2021-08-11,73277.0234375,74490.52828423567,73277.0234375,74303.83523089171,30241137
2021-08-12,71876.8359375,72996.99441964286,71783.48939732142,71970.18247767857,42365223
2021-08-13,69449.8203125,70943.36483534946,69169.78071446573,70756.67176999328,61270643
2021-08-17,69263.140625,70103.25958136792,69076.44752358491,69076.44752358491,30944847
2021-08-18,68983.1015625,69636.52742303789,68236.3291504567,68983.1015625,29192631
2021-08-19,68236.3125,69449.817373461,68236.3125,68609.69861491107,22166298
2021-08-20,67862.9296875,68983.08808674346,67676.23662095942,68609.70195366231,22364803
2021-08-23,68423.0078125,69076.4335351296,68142.96821708731,68423.0078125,19384648
2021-08-24,70569.984375,70663.33091517857,68983.09319196429,68983.09319196429,21016913
2021-08-25,70663.3359375,71503.4548588177,69916.56356299538,71130.06867156539,22319664
2021-08-26,69636.515625,71130.06019604557,69636.515625,71036.71366035522,16671494
2021-08-27,69356.46875,70009.89443135935,68889.7361204576,69356.46875,15172748
2021-08-30,69636.515625,70476.63444621314,69263.1294822386,70383.28791052279,12686999
2021-08-31,71596.796875,71596.796875,69356.47989325294,69916.5591386897,24630370
2021-09-01,71690.1484375,71970.18807983398,70850.02951049805,71596.80189005533,16114775
2021-09-02,70943.375,71690.14736842105,70663.3353618421,71690.14736842105,15347486
2021-09-03,71503.453125,71596.79966954961,70943.37385770235,71316.76003590078,12096419
2021-09-06,72156.8671875,72436.90677554981,71503.44148205045,71690.13454075032,12861180
2021-09-07,71036.7109375,71970.17625862351,70850.0178732753,71970.17625862351,13239401
2021-09-08,71223.3984375,71316.74496231979,70569.97276376147,70943.35886304063,11798147
2021-09-09,70289.9453125,71503.45034445552,70009.90568974103,71316.7572626162,17600770
2021-09-10,70289.9453125,70569.98493525897,69823.21260790173,70289.9453125,10103212
2021-09-13,71223.3984375,71223.3984375,70103.24013966252,70196.58666448231,11397775
2021-09-14,71503.453125,72530.2651150457,71503.453125,71970.18584774804,18167057
2021-09-15,71876.8359375,72250.22209821428,71316.75669642857,72250.22209821428,12829128
2021-09-16,71036.7109375,72250.21585496058,71036.7109375,72156.86932284823,13067622
2021-09-17,72063.5234375,72063.5234375,70850.01850914831,71223.40464094884,16289502
2021-09-23,72250.2109375,72436.90398901809,71690.13178294574,72343.55746325904,17055590
2021-09-24,72156.8671875,72530.25330489974,71970.17412880012,72436.90677554981,12247274
2021-09-27,72530.25,72530.25,71876.82432432433,72156.8638996139,11699798
2021-09-28,71223.3984375,72623.59630979685,71130.05191268021,72530.24978497706,15406382
2021-09-29,69498.6015625,70624.08498861337,69217.23070597165,70155.13356106612,23992458
2021-09-30,69498.6015625,70155.13356106612,69123.44042046221,69686.18213351889,19919361
2021-10-01,68654.484375,69404.80660860655,68373.11353739754,69311.01632940574,15803395
2021-10-05,67716.5859375,68466.90821935596,66966.26365564404,68466.90821935596,24013921
2021-10-06,66872.4765625,68279.33090813464,66778.68627279102,68091.75032871669,18956962
2021-10-07,67153.8359375,67622.78730577863,66872.46511653283,67153.8359375,13683532
2021-10-08,67060.0546875,67904.16726398602,67060.0546875,67810.37697770979,14043287
2021-10-12,64715.31640625,66497.33236526269,64433.94546535327,66309.75173799819,31001484
2021-10-13,64527.7109375,65278.03315770349,64058.75954987282,64433.92065997457,24172015
2021-10-14,65090.46875,65465.629953170035,64527.72694524496,64715.30754682997,19520641
2021-10-15,65746.984375,66591.09687054208,65653.19409771754,65840.77465228246,18051612
2021-10-18,65840.7734375,65934.563713052,64902.87068198006,65840.7734375,13486391
2021-10-19,66215.9375,66591.09861898018,66028.35694050991,66403.51805949009,9507991
2021-10-20,65934.5703125,66591.10230707681,65840.78002756045,66309.73145225819,10151638
2021-10-21,65840.7734375,66215.93453970797,65653.19288639602,65934.563713052,10891094
2021-10-22,66028.3515625,66309.72237881747,65653.1904740767,65653.1904740767,8395448
2021-10-25,65840.7734375,66215.93453970797,65184.24150863604,65559.40261084402,10029621
2021-10-26,66684.8984375,67060.05961014416,66028.3663853727,66215.9469716948,10528252
2021-10-27,65746.984375,66591.09687054208,65653.19409771754,66591.09687054208,10295316
2021-10-28,66309.71875,67716.57275459688,65184.23554632249,65184.23554632249,20644902
2021-10-29,65465.6015625,67153.8262446275,65371.81130238181,66778.66520415473,17016151
2021-11-01,65559.4375,66215.96977825466,65559.4375,65840.80847639486,11503729
2021-11-02,67060.0546875,67716.58669143356,66309.73239729021,66403.52268356644,16812570
2021-11-03,66028.3515625,67247.62509987572,65746.98074618253,67247.62509987572,12770428
2021-11-04,66215.9375,67153.84029745043,66122.14722025496,66778.67917847025,11818987
2021-11-05,65840.7734375,67153.83729522792,65840.7734375,67153.83729522792,12667743
2021-11-08,66215.9375,66215.9375,65465.61526203966,66028.35694050991,11121981
2021-11-09,66122.1484375,66591.09984485815,65746.98731161348,65934.56787455674,11159589
2021-11-10,65840.7734375,66497.30536636396,65840.7734375,65934.563713052,9422009
2021-11-11,65559.4375,65653.22782546496,65278.06652360515,65559.4375,11489122
2021-11-12,66215.9375,66497.30833923513,65559.4055417847,65840.77638101982,10087450
2021-11-15,66966.2578125,67435.2091977416,66497.3064272584,67247.62864364496,12420710
2021-11-16,66872.4765625,67529.00859046284,66872.4765625,67060.05714191796,10919239
2021-11-17,66309.71875,67153.83115275812,66215.92848302687,66872.46035183876,11027606
2021-11-18,65840.7734375,66591.09564191596,65840.7734375,66309.72481525998,10144957
2021-11-19,66778.6875,66966.26808286516,65746.99429424158,66028.36516853933,11954728
2021-11-22,70248.9140625,70530.28487983979,68466.89888601468,68748.26970335447,27506623
2021-11-23,70624.09375,71280.62583001328,69873.77137284196,71280.62583001328,22029195
2021-11-24,70155.1328125,71468.19679562165,69498.60082093917,71280.61622660428,15652305
2021-11-25,69123.4296875,70436.49348074966,69029.63941655359,70436.49348074966,12559258
2021-11-26,67810.375,69498.60010373444,67529.0041493776,68935.85840248963,13002242
2021-11-29,67810.375,68466.90698478562,66966.26244813278,67247.63329875519,16682559
2021-11-30,66872.4765625,69311.02409493338,66122.1542448282,68654.49206697055,30364841
2021-12-01,69779.9609375,70155.12201780913,67153.83337533602,67528.99445564515,21954856
2021-12-02,71093.0234375,71093.0234375,69217.21806975594,69311.00833814315,23652940
2021-12-03,70905.4609375,71280.62210648147,69498.60655381944,70905.4609375,18330240
2021-12-06,71562.0,71937.16120576671,70248.93577981651,70436.51638269988,16391250
2021-12-07,72593.6796875,72875.05053900194,70905.45457848837,71374.40599765826,19232453
2021-12-08,72593.6796875,73719.16309350776,72312.30883599806,73437.79224200582,21558340
2021-12-09,73344.0,73344.0,72218.51662404092,72593.67774936062,21604528
2021-12-10,72124.7265625,72781.25853381013,72030.93628088426,72593.67797057868,9155219
2021-12-13,72030.9375,73437.79174804688,71749.56665039062,72406.0986328125,15038750
2021-12-14,72218.5078125,72406.08835227272,71468.18565340909,71749.55646306818,10976660
2021-12-15,72781.25,72781.25,71561.97648195876,71655.76675257733,9584939
2021-12-16,72968.8359375,73625.3678803824,72593.6748272815,73625.3678803824,11996128
2021-12-17,73156.4140625,73156.4140625,72030.93076923076,72030.93076923076,13108479
2021-12-20,72312.3203125,72968.85240353437,72030.94941634241,72781.27180609599,11264375
2021-12-21,73250.2109375,73437.79150328106,72687.46924015685,73062.63037171894,14245298
2021-12-22,74469.4921875,74469.4921875,73906.75043293451,74000.5407253621,17105892
2021-12-23,74938.4453125,75032.23560700876,74375.70354544744,74844.65501799124,13577498
2021-12-24,75501.171875,75782.54270186335,75219.80104813665,75219.80104813665,12086380
2021-12-27,75219.8125,75594.973659601,74844.65134039901,75594.973659601,10783368
2021-12-28,75313.59375,75407.38402864258,74750.85207814445,75219.80347135742,18226325
2021-12-29,74240.515625,75559.50955742385,73957.87406805203,75559.50955742385,19794795
2021-12-30,73769.4375,74900.00359195402,73581.00981800766,74334.72054597702,14236700
2022-01-04,74146.296875,74617.36610546378,73769.44149062897,74240.51072109275,12427416
2022-01-05,72921.515625,74428.93713662791,71979.37718023256,74240.50944767443,25470640
2022-01-06,72450.4375,73109.93433029909,72167.79600130039,72262.00983420026,12931954
2022-01-07,73769.4375,73863.65134099618,72921.51293103448,73581.00981800766,15163757
2022-01-10,73486.796875,73581.01071714744,72638.87229567308,73581.01071714744,9947422
2022-01-11,74334.7109375,74428.92476631813,73486.78647813688,73863.64179340938,13221123
2022-01-12,74334.7109375,74994.20773922687,74052.06945104564,74899.99391040875,11000502
2022-01-13,73392.5703125,74711.563873957,73392.5703125,74711.563873957,13889401
2022-01-14,72827.3046875,73581.0154733991,72638.87699102522,73204.16008044954,10096725
2022-01-17,73015.71875,73298.36024193549,72450.43576612903,73109.93258064517,8785122
2022-01-18,72544.6484375,73298.35907061689,72167.79312094157,73109.93141233767,9592788
2022-01-19,71885.1640625,72450.44713507536,71696.73637164154,72073.59175335846,10598290
2022-01-20,72073.5859375,72262.0136131536,71508.30291053922,71790.9444240196,9708168
2022-01-21,71225.6640625,71414.09174520502,70377.73949032738,71414.09174520502,15774888
2022-01-24,70754.578125,71414.07485852197,70377.72284870173,71037.2195822237,13691134
2022-01-25,69718.2421875,70660.38059543919,68964.53146114865,70471.95291385136,17766704
2022-01-26,69718.2421875,69718.2421875,69718.2421875,69718.2421875,0
2022-01-27,67174.4609375,69718.23435308556,67174.4609375,69529.80669267182,22274777
2022-01-28,69058.7421875,69435.59753368009,67080.25162005458,67174.46545659959,21367447
2022-02-03,69058.7421875,70566.16357222034,69058.7421875,70566.16357222034,17744721
2022-02-04,69718.2421875,70283.52523226352,69152.9591427365,70000.88370988176,12730034
2022-02-07,68776.09375,69341.37671232877,68210.81078767123,69247.16288527397,14240838
2022-02-08,68776.09375,68776.09375,68776.09375,68776.09375,0
2022-02-09,68776.09375,68776.09375,68776.09375,68776.09375,0
2022-02-10,71037.2265625,71414.08187582891,70377.72976417441,71225.65421916445,17746033
